node1136,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1137,Cores per socket,20
node1137,Sockets,2
node1137,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1139,Cores per socket,20
node1139,Sockets,2
node1139,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1138,Cores per socket,20
node1138,Sockets,2
node1138,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1140,Cores per socket,20
node1140,Sockets,2
node1140,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1142,Cores per socket,20
node1142,Sockets,2
node1142,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1143,Cores per socket,20
node1143,Sockets,2
node1143,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1147,Cores per socket,20
node1147,Sockets,2
node1147,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1141,Cores per socket,20
node1141,Sockets,2
node1141,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1146,Cores per socket,20
node1146,Sockets,2
node1146,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1148,Cores per socket,20
node1148,Sockets,2
node1148,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1149,Cores per socket,20
node1149,Sockets,2
node1149,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1144,Cores per socket,20
node1144,Sockets,2
node1144,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1153,Cores per socket,20
node1153,Sockets,2
node1153,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1151,Cores per socket,20
node1151,Sockets,2
node1151,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1154,Cores per socket,20
node1154,Sockets,2
node1154,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1152,Cores per socket,20
node1152,Sockets,2
node1152,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1150,Cores per socket,20
node1150,Sockets,2
node1150,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1155,Cores per socket,20
node1155,Sockets,2
node1155,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1156,Cores per socket,20
node1156,Sockets,2
node1156,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1157,Cores per socket,20
node1157,Sockets,2
node1157,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1158,Cores per socket,20
node1158,Sockets,2
node1158,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1159,Cores per socket,20
node1159,Sockets,2
node1159,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1160,Cores per socket,20
node1160,Sockets,2
node1160,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1161,Cores per socket,20
node1161,Sockets,2
node1161,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1162,Cores per socket,20
node1162,Sockets,2
node1162,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1165,Cores per socket,20
node1165,Sockets,2
node1165,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1163,Cores per socket,20
node1163,Sockets,2
node1163,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1167,Cores per socket,20
node1167,Sockets,2
node1167,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1164,Cores per socket,20
node1164,Sockets,2
node1164,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1166,Cores per socket,20
node1166,Sockets,2
node1166,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node117,Cores per socket,8
node117,Sockets,2
node117,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1168,Cores per socket,20
node1168,Sockets,2
node1168,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
